,Question,History8,Rewrite
10,How do I build a cheap driveway?,,How do I build a cheap driveway?
11,Which is cheaper: concrete or asphalt?,"How do I build a cheap driveway? | Types of Driveways – Gravel, asphalt, brick &amp; concrete driveway Gravel Driveways – These driveways are usually created by dunking a load of gravel and leveling it",Which is cheaper way to build a driveway: concrete or asphalt?
12,Really?  What type of product?,"How do I build a cheap driveway? |  | Which is cheaper way to build a driveway: concrete or asphalt? |  In winter, concrete driveways can suffer damage if you use the wrong de-icing product",What type of de-icing product can damage concrete driveways?
13,Who knew?  Which is more environmentally friendly?,"How do I build a cheap driveway? |  |  |  In winter, concrete driveways can suffer damage if you use the wrong de-icing product | What type of de-icing product can damage concrete driveways? | What Rock Salt is Safe for Concrete? Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product",Which type of driveway is more environmentally friendly?
14,No.  Which type of driveway is better for the environment?,"How do I build a cheap driveway? |  |  |  | What type of de-icing product can damage concrete driveways? | What Rock Salt is Safe for Concrete? Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product | Which type of driveway is more environmentally friendly? |  The same chemical magic that turns ice into water creates a very salty brine that can make household pets sick, kill lawns and eats away at concrete, brick, and stone",No. Which type of driveway is better for the environment?
15,And most low-maintenance?,"How do I build a cheap driveway? |  |  |  |  | What Rock Salt is Safe for Concrete? Although we all know that snow and ice can create dangerous conditions throughout our properties, we also don’t want to create even bigger issues by using the wrong ice melting product | Which type of driveway is more environmentally friendly? |  The same chemical magic that turns ice into water creates a very salty brine that can make household pets sick, kill lawns and eats away at concrete, brick, and stone | No. Which type of driveway is better for the environment? |  There are three main types of solution to creating a permeable driveway: Using gravel or a mainly green, vegetated area",Which type of driveway is the most low-maintenance?
16,Really? What about asphalt?,"How do I build a cheap driveway? |  |  |  |  |  | Which type of driveway is more environmentally friendly? |  The same chemical magic that turns ice into water creates a very salty brine that can make household pets sick, kill lawns and eats away at concrete, brick, and stone | No. Which type of driveway is better for the environment? |  There are three main types of solution to creating a permeable driveway: Using gravel or a mainly green, vegetated area | Which type of driveway is the most low-maintenance? |  Ongoing Maintenance Chart: Gravel Driveway – #1 – Most Ongoing Maintenance Asphalt Driveway – #2Concrete Driveway – #3Paver Driveway – #4 – Least Ongoing Maintenance A concrete driveway requires the second least amount of ongoing maintenance, compared to the other hard surface driveways",Really? How long does an asphalt driveway last?
17,Is sealing worth it?,"How do I build a cheap driveway? |  |  |  |  |  |  |  The same chemical magic that turns ice into water creates a very salty brine that can make household pets sick, kill lawns and eats away at concrete, brick, and stone | No. Which type of driveway is better for the environment? |  There are three main types of solution to creating a permeable driveway: Using gravel or a mainly green, vegetated area | Which type of driveway is the most low-maintenance? |  Ongoing Maintenance Chart: Gravel Driveway – #1 – Most Ongoing Maintenance Asphalt Driveway – #2Concrete Driveway – #3Paver Driveway – #4 – Least Ongoing Maintenance A concrete driveway requires the second least amount of ongoing maintenance, compared to the other hard surface driveways | Really? How long does an asphalt driveway last? |  During installation, the area will need to be excavated and graded to be paved and allow the base to settle before applying the hot mix asphalt and compacting it with a heavy duty roller",Is sealing an asphalt driveway worth it?
18,How can fires help an ecosystem?,,How can fires help an ecosystem?
19,Give me some examples.,"How can fires help an ecosystem? |  [1] Many plant species in fire-affected environments require fire to germinate, establish, or to reproduce",Give me some examples of organisms that have adapted to exploit natural wildfire.
20,Cool name!  What are other fire-followers?,How can fires help an ecosystem? |  | Give me some examples of organisms that have adapted to exploit natural wildfire. |  This is due not only to the fact that there are more resources available but also because several plant species in chaparral biomes are so adapted to the cycle of periodic fires that their seeds are only able to sprout after a fire,Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?
21,"Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?",How can fires help an ecosystem? |  |  |  This is due not only to the fact that there are more resources available but also because several plant species in chaparral biomes are so adapted to the cycle of periodic fires that their seeds are only able to sprout after a fire | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? |  The role of fire in the longleaf pine ecosystem was and still is today a key component in regeneration and shaping of the ecosystem,Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?
22,Can it cause desertification?,"How can fires help an ecosystem? |  |  |  | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? |  The role of fire in the longleaf pine ecosystem was and still is today a key component in regeneration and shaping of the ecosystem | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? |  In addition, Green Facts states that we are depleting fish populations in the oceans and seas, causing us to fish further offshore and deeper underwater as more and more fish disappear",Can agriculture cause desertification?
23,What does it mean to be tired?,"How can fires help an ecosystem? |  |  |  |  |  The role of fire in the longleaf pine ecosystem was and still is today a key component in regeneration and shaping of the ecosystem | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? |  In addition, Green Facts states that we are depleting fish populations in the oceans and seas, causing us to fish further offshore and deeper underwater as more and more fish disappear | Can agriculture cause desertification? |  Farming is major cause of desertification - soils need time to rest between crops but pressures to provide food and an income often lead to soil and land being over used and becoming tired",What does it mean for soil to be tired?
24,That sounds like organic farming.  How are they related?,"How can fires help an ecosystem? |  |  |  |  |  | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? |  In addition, Green Facts states that we are depleting fish populations in the oceans and seas, causing us to fish further offshore and deeper underwater as more and more fish disappear | Can agriculture cause desertification? |  Farming is major cause of desertification - soils need time to rest between crops but pressures to provide food and an income often lead to soil and land being over used and becoming tired | What does it mean for soil to be tired? |  It includes ""permaculture"", originally being a combination of the words ""permanent"" and ""agriculture"", which is a systems thinking approach that can increase the carbon content of soil by using natural patterns in already existing ecosystems to promote a higher efficiency of food production, a lower need for human involvement, and a healthier ecosystem","Permaculture sounds like organic farming, how are they related?"
25,"Does organic farming reduce global warming, and if so, how?","How can fires help an ecosystem? |  |  |  |  |  |  |  In addition, Green Facts states that we are depleting fish populations in the oceans and seas, causing us to fish further offshore and deeper underwater as more and more fish disappear | Can agriculture cause desertification? |  Farming is major cause of desertification - soils need time to rest between crops but pressures to provide food and an income often lead to soil and land being over used and becoming tired | What does it mean for soil to be tired? |  It includes ""permaculture"", originally being a combination of the words ""permanent"" and ""agriculture"", which is a systems thinking approach that can increase the carbon content of soil by using natural patterns in already existing ecosystems to promote a higher efficiency of food production, a lower need for human involvement, and a healthier ecosystem | Permaculture sounds like organic farming, how are they related? | ”Permaculture, when practiced, is a design philosophy and set of tools and principles that encompass the inter-related fields of organic gardening and agroforestry, architecture, ecology, community design, renewable energy, and systems theory","Does organic farming reduce global warming, and if so, how?"
26,Why do cats eat plastic?,,Why do cats eat plastic?
27,Will it kill him?,"Why do cats eat plastic? | ""The persistence of pica in the seeming absence of a physiological cause might be due to the fortuitous acquisition of a conditioned illness during the period of physiological insult",Will eating plastic kill a cat?
28,What?  No.  Will eating plastic kill my cat?,"Why do cats eat plastic? |  | Will eating plastic kill a cat? |  Moreover, the time they spend away from their mother while in the puppy mill, subjected to the same stressful living conditions, is highly stressful",What?  No. Will eating plastic kill my cat?
29,How do I get him to stop?,"Why do cats eat plastic? |  |  |  Moreover, the time they spend away from their mother while in the puppy mill, subjected to the same stressful living conditions, is highly stressful | What?  No. Will eating plastic kill my cat? |  If your cat has a history of ingesting non-food items and becomes lethargic, vomits, or displays other concerning behavior, take them to your veterinarian immediately",How do I get a cat to stop eating plastic?
30,Should I get a second one?,"Why do cats eat plastic? |  |  |  | What?  No. Will eating plastic kill my cat? |  If your cat has a history of ingesting non-food items and becomes lethargic, vomits, or displays other concerning behavior, take them to your veterinarian immediately | How do I get a cat to stop eating plastic? |  Give him puzzle toys including things such as rolling treat balls to keep him busy while you’re away at work",Should I get a second cat to ease my cat’s boredom or loneliness?
31,What are his desires?,"Why do cats eat plastic? |  |  |  |  |  If your cat has a history of ingesting non-food items and becomes lethargic, vomits, or displays other concerning behavior, take them to your veterinarian immediately | How do I get a cat to stop eating plastic? |  Give him puzzle toys including things such as rolling treat balls to keep him busy while you’re away at work | Should I get a second cat to ease my cat’s boredom or loneliness? |  If you are willing to put in the time, patience and expense of a second pet, then take a look at your cat's desires",What are my cat’s desires?
32,What does the slow blink mean?,"Why do cats eat plastic? |  |  |  |  |  | How do I get a cat to stop eating plastic? |  Give him puzzle toys including things such as rolling treat balls to keep him busy while you’re away at work | Should I get a second cat to ease my cat’s boredom or loneliness? |  If you are willing to put in the time, patience and expense of a second pet, then take a look at your cat's desires | What are my cat’s desires? |  Hiding - Little Mo loves to play hiding games with her self where I think she is imaging that she is hiding from prey or another cat and loves to pounce out of the box at the most unexpected moment",What does a cat’s slow blink mean?
33,What are the benefits of cow milk?,,What are the benefits of cow milk?
34,What about an alternative. I’ve heard it's also made from almonds?,"What are the benefits of cow milk? |  However, the nutritional value and availability of cow’s milk have made it one of the most in-demand liquids on the planet",What about an alternative. How is milk made from almonds?
35,Which is healthiest?,"What are the benefits of cow milk? |  | What about an alternative. How is milk made from almonds? |  Note that you can make almond milk at home – an easy process, requiring only organic raw almonds, water and a little sugar or other sweetener","Which of the milk options (almond, oat, hemp or rice milk) is the healthiest?"
36,"No, the vegan ones. Which of those alternatives is healthiest?","What are the benefits of cow milk? |  |  |  Note that you can make almond milk at home – an easy process, requiring only organic raw almonds, water and a little sugar or other sweetener | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | Why Whole Milk is the Healthiest Choicetweet email 227By: Experience Life August 31, 2009About Experience Life Follow Experience Life at @ Experience Life I drink whole milk and eat full-fat yogurt, cream cheese, and sour cream","No, the vegan ones. Which of the vegan alternative milk options is healthiest?"
37,Can I make it at home?,"What are the benefits of cow milk? |  |  |  | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | Why Whole Milk is the Healthiest Choicetweet email 227By: Experience Life August 31, 2009About Experience Life Follow Experience Life at @ Experience Life I drink whole milk and eat full-fat yogurt, cream cheese, and sour cream | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? Someone may owe you money To find out, researchers from Mc Gill University recently conducted an experiment, published in the Journal of Food Science and Technology, to determine the nutritional value of plant-based milk beverages",Can I make soy milk at home?
38,Oat seems popular now.  Why?,"What are the benefits of cow milk? |  |  |  |  | Why Whole Milk is the Healthiest Choicetweet email 227By: Experience Life August 31, 2009About Experience Life Follow Experience Life at @ Experience Life I drink whole milk and eat full-fat yogurt, cream cheese, and sour cream | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? Someone may owe you money To find out, researchers from Mc Gill University recently conducted an experiment, published in the Journal of Food Science and Technology, to determine the nutritional value of plant-based milk beverages | Can I make soy milk at home? |  Homemade soy milk can be made to the drinkers' tastes and nutritional requirements, providing added value",Oat seems popular now.  Why?
39,I’m going to bake some cookies. Which one would be the best to use?,"What are the benefits of cow milk? |  |  |  |  |  | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? Someone may owe you money To find out, researchers from Mc Gill University recently conducted an experiment, published in the Journal of Food Science and Technology, to determine the nutritional value of plant-based milk beverages | Can I make soy milk at home? |  Homemade soy milk can be made to the drinkers' tastes and nutritional requirements, providing added value | Oat seems popular now.  Why? |  Oats contain high amounts of functional protein, dietary fiber (β-glucan), and unsaturated fatty acids, which make oat milk a significant source of nutrients, though uncertainty surrounds its practical use as a dairy milk substitute",I’m going to bake some cookies. Which vegan milk is best for baking cookies?
40,What would be second best?,"What are the benefits of cow milk? |  |  |  |  |  |  | There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? Someone may owe you money To find out, researchers from Mc Gill University recently conducted an experiment, published in the Journal of Food Science and Technology, to determine the nutritional value of plant-based milk beverages | Can I make soy milk at home? |  Homemade soy milk can be made to the drinkers' tastes and nutritional requirements, providing added value | Oat seems popular now.  Why? |  Oats contain high amounts of functional protein, dietary fiber (β-glucan), and unsaturated fatty acids, which make oat milk a significant source of nutrients, though uncertainty surrounds its practical use as a dairy milk substitute | I’m going to bake some cookies. Which vegan milk is best for baking cookies? | One cup of soy milk provides 4 grams of unsaturated fat, 1 gram of fiber, and 7 grams of protein",Which vegan milk besides soy is best for baking?
41,What is the best in my morning latte?,"What are the benefits of cow milk? |  |  |  |  |  |  |  | Can I make soy milk at home? |  Homemade soy milk can be made to the drinkers' tastes and nutritional requirements, providing added value | Oat seems popular now.  Why? |  Oats contain high amounts of functional protein, dietary fiber (β-glucan), and unsaturated fatty acids, which make oat milk a significant source of nutrients, though uncertainty surrounds its practical use as a dairy milk substitute | I’m going to bake some cookies. Which vegan milk is best for baking cookies? | One cup of soy milk provides 4 grams of unsaturated fat, 1 gram of fiber, and 7 grams of protein | Which vegan milk besides soy is best for baking? |  If you're still concerned or allergic to soy then it's great that we now have hemp milk as a soy-free alternative",What vegan milk is best in my morning latte?
42,"I didn’t expect that. Really, hemp? Say more.","What are the benefits of cow milk? |  |  |  |  |  |  |  |  |  Homemade soy milk can be made to the drinkers' tastes and nutritional requirements, providing added value | Oat seems popular now.  Why? |  Oats contain high amounts of functional protein, dietary fiber (β-glucan), and unsaturated fatty acids, which make oat milk a significant source of nutrients, though uncertainty surrounds its practical use as a dairy milk substitute | I’m going to bake some cookies. Which vegan milk is best for baking cookies? | One cup of soy milk provides 4 grams of unsaturated fat, 1 gram of fiber, and 7 grams of protein | Which vegan milk besides soy is best for baking? |  If you're still concerned or allergic to soy then it's great that we now have hemp milk as a soy-free alternative | What vegan milk is best in my morning latte? |  Once all the ingredients are blended together, some people pour the hemp milk through a cheesecloth and strainer to get a smoother and more refined milky texture, but this process is optional","I didn’t expect that. Really, hemp? Say more about hemp milk for coffee."
43,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?",,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?"
44,What is the first based on?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  The Guinness World record for the fastest car is held by the Bugatti Veyron Super Sport (second car in our list) at 269",What is Hennessey Venom GT based on?
45,How fast can the unmodified base car go?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  | What is Hennessey Venom GT based on? |  For road use, the car is registered as a Lotus Exige (modified) and is not a series production car",How fast can the unmodified base Lotus Elise/Exige go?
46,"No, I meant the Lotus.","I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  For road use, the car is registered as a Lotus Exige (modified) and is not a series production car | How fast can the unmodified base Lotus Elise/Exige go? | 0L V8 engine producing 1,451 bhp @ 7,200 rpm and 1,287 lb-ft of torque @ 4,200 rpm and puts its power down to the rear Michelin Pilot Super Sport tires via a 6-speed manual gearbox by Ricardo",How fast can the Lotus Elise/Exige go?
47,Can any go over 300 mph?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  | How fast can the unmodified base Lotus Elise/Exige go? | 0L V8 engine producing 1,451 bhp @ 7,200 rpm and 1,287 lb-ft of torque @ 4,200 rpm and puts its power down to the rear Michelin Pilot Super Sport tires via a 6-speed manual gearbox by Ricardo | How fast can the Lotus Elise/Exige go? |  It can sprint from 0 to 60 mph (97 km/h) in 3",Can any super car go over 300 mph?
48,What is the origin of funny cars? Why do they call them that?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  | 0L V8 engine producing 1,451 bhp @ 7,200 rpm and 1,287 lb-ft of torque @ 4,200 rpm and puts its power down to the rear Michelin Pilot Super Sport tires via a 6-speed manual gearbox by Ricardo | How fast can the Lotus Elise/Exige go? |  It can sprint from 0 to 60 mph (97 km/h) in 3 | Can any super car go over 300 mph? |  Of these, top fuel and funny cars are the most popular",What is the origin of funny cars? Why do they call them funny cars?
49,How fast did it go?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  |  | How fast can the Lotus Elise/Exige go? |  It can sprint from 0 to 60 mph (97 km/h) in 3 | Can any super car go over 300 mph? |  Of these, top fuel and funny cars are the most popular | What is the origin of funny cars? Why do they call them funny cars? |  The name is rumored to have come from the altered wheelbase bodies that followed in 1965",How fast did the first funny car go?
50,"No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom?","I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  |  |  |  It can sprint from 0 to 60 mph (97 km/h) in 3 | Can any super car go over 300 mph? |  Of these, top fuel and funny cars are the most popular | What is the origin of funny cars? Why do they call them funny cars? |  The name is rumored to have come from the altered wheelbase bodies that followed in 1965 | How fast did the first funny car go? |  In the interior the gear selector is similar to a push-button automatic with buttons labeled P, R, N and D while some earlier models have a gear lever similar to that in cars with manual transmission","No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT?"
51,It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  |  |  |  | Can any super car go over 300 mph? |  Of these, top fuel and funny cars are the most popular | What is the origin of funny cars? Why do they call them funny cars? |  The name is rumored to have come from the altered wheelbase bodies that followed in 1965 | How fast did the first funny car go? |  In the interior the gear selector is similar to a push-button automatic with buttons labeled P, R, N and D while some earlier models have a gear lever similar to that in cars with manual transmission | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? | “Over fifty years ago the American-built P51 Mustang fighter aircraft was flown into history powered by a British Rolls-Royce Merlin engine",It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones?
52,I heard they’ve been working on something even faster.,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  |  |  |  |  |  Of these, top fuel and funny cars are the most popular | What is the origin of funny cars? Why do they call them funny cars? |  The name is rumored to have come from the altered wheelbase bodies that followed in 1965 | How fast did the first funny car go? |  In the interior the gear selector is similar to a push-button automatic with buttons labeled P, R, N and D while some earlier models have a gear lever similar to that in cars with manual transmission | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? | “Over fifty years ago the American-built P51 Mustang fighter aircraft was flown into history powered by a British Rolls-Royce Merlin engine | It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? |  The unique properties of an electric motor give it a huge advantage over a combustion engine in terms of torque, force that tends to rotate or turn things, and power band, the range of operating speeds under which the engine operates efficiently",I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode.
53,Is the Roadster related to the other super cars we’ve talked about?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |  |  |  |  |  |  |  |  |  | What is the origin of funny cars? Why do they call them funny cars? |  The name is rumored to have come from the altered wheelbase bodies that followed in 1965 | How fast did the first funny car go? |  In the interior the gear selector is similar to a push-button automatic with buttons labeled P, R, N and D while some earlier models have a gear lever similar to that in cars with manual transmission | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? | “Over fifty years ago the American-built P51 Mustang fighter aircraft was flown into history powered by a British Rolls-Royce Merlin engine | It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? |  The unique properties of an electric motor give it a huge advantage over a combustion engine in terms of torque, force that tends to rotate or turn things, and power band, the range of operating speeds under which the engine operates efficiently | I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode. |  For gearheads, he noted the three-motor Roadster will turn out an unprecedented 7,376 pound-feet of torque, more than a diesel 18-wheeler, and 10 times what even some of the world’s most powerful gas sports cars can manage","Is the Tesla Roadster related to the other super cars, like the Hennessey Venom GT or Lotus Elise?"
54,What’s the history of steroid use in sports in the US?,,Utterance: What’s the history of steroid use in sports in the US?
55,What were Ziegler’s improvements?,"Utterance: What’s the history of steroid use in sports in the US? |  History The history of anabolic steroids can be traced back to as early as 1930's, before the term steroid was even used",Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes?
56,Why are they banned?,Utterance: What’s the history of steroid use in sports in the US? |  | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |  It was banned by the Food and Drug Administration (FDA) under the Controlled Substances Act,Why are steroids banned in sports?
57,Are there visible signs?,"Utterance: What’s the history of steroid use in sports in the US? |  |  |  It was banned by the Food and Drug Administration (FDA) under the Controlled Substances Act | Why are steroids banned in sports? |  Besides this, there are also issues regarding the negative effects that it has on the body as well as some unfortunate crime of violence that was also attributed to the use of the drug",Are there visible signs that someone is using steroids?
58,That sounds easy to spot.  How do they get away with it?,"Utterance: What’s the history of steroid use in sports in the US? |  |  |  | Why are steroids banned in sports? |  Besides this, there are also issues regarding the negative effects that it has on the body as well as some unfortunate crime of violence that was also attributed to the use of the drug | Are there visible signs that someone is using steroids? | Warning Signs Of Steroid Use The possible red flags of anabolic steroid use include: Increased acne and facial bloating Enlarged breasts in boys or smaller breasts in girls Persistent bad breath Skin eruptions and infections Increased aggression or irritability Hair loss in bed, shower, comb, or brush Small red or purplish acne Depression, hallucinations, extreme feelings of mistrust or fear Drastic appetite shifts Loss or gain of interest in friends and decline in grades Unexplained presence or recovery of needles, vials, alcohol swabs, rubber tops and stoppers, syringes, amp openers, sterile injectable oils, waters, or vitamins Phone conversations becoming more private Changes in body build, including development of the upper body, muscle growth, and rapid weight gain Behavioral, emotional, or psychological changes Needle marks in the buttocks or thighs Effects On Mind Many studies have suggested that testosterone and anabolic steroids affect the functioning of the central nervous system (CNS)",That sounds easy to spot. How do athletes get away with using steroids?
59,What is the NFL policy?,"Utterance: What’s the history of steroid use in sports in the US? |  |  |  |  |  Besides this, there are also issues regarding the negative effects that it has on the body as well as some unfortunate crime of violence that was also attributed to the use of the drug | Are there visible signs that someone is using steroids? | Warning Signs Of Steroid Use The possible red flags of anabolic steroid use include: Increased acne and facial bloating Enlarged breasts in boys or smaller breasts in girls Persistent bad breath Skin eruptions and infections Increased aggression or irritability Hair loss in bed, shower, comb, or brush Small red or purplish acne Depression, hallucinations, extreme feelings of mistrust or fear Drastic appetite shifts Loss or gain of interest in friends and decline in grades Unexplained presence or recovery of needles, vials, alcohol swabs, rubber tops and stoppers, syringes, amp openers, sterile injectable oils, waters, or vitamins Phone conversations becoming more private Changes in body build, including development of the upper body, muscle growth, and rapid weight gain Behavioral, emotional, or psychological changes Needle marks in the buttocks or thighs Effects On Mind Many studies have suggested that testosterone and anabolic steroids affect the functioning of the central nervous system (CNS) | That sounds easy to spot. How do athletes get away with using steroids? |  — At the Sochi Olympics, Rodchenkov spearheaded a clandestine, late-night effort to swap out Russian athletes’ dirty urine with clean urine provided months earlier, before the athletes began doping",What is the NFL policy about steroids?
