,Target,Source
2,What are the cons of GMO food labeling?,Query: And what about the cons? |||| Context: What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: 
3,What are the GMO food labeling rules in the EU?,"Query: What are the EU rules? |||| Context: What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: "
4,Tell me about traceability tools for GMO foods in the EU.,"Query: Tell me more about traceability tools. |||| Context: What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: "
5,What is the role of Co-Extra in GMO food traceability in the EU?,"Query: What is the role of Co-Extra? |||| Context: Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: "
6,How is food tested for GMO contamination?,"Query: How is testing done for contamination? |||| Context: What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: "
7,What's the difference between the European Union and United States approaches to testing for GMO food contamination?,"Query: What's the difference between the European and US approaches? |||| Context: How is food tested for GMO contamination? ||| Genetically modified foods have been tested over and over again. Never revealing any problems, the test that show rats getting cancer and tumors, where frauds. ||| What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring labeling of genetically modified food. |||| Reformulation: "
8,How does the DNA-based method work for testing GMO contamination.,"Query: How does the DNA-based method work? |||| Context: What's the difference between the European Union and United States approaches to testing for GMO food contamination? |||  ||| How is food tested for GMO contamination? ||| Genetically modified foods have been tested over and over again. Never revealing any problems, the test that show rats getting cancer and tumors, where frauds. ||| What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are selling GMO or non-GMO products. Vermont passed a law last year requiring lab |||| Reformulation: "
9,How could Co-Extra improve DNA-based testing for GMO contamination?,"Query: How could Co-Extra improve it? |||| Context: How does the DNA-based method work for testing GMO contamination. |||  ||| What's the difference between the European Union and United States approaches to testing for GMO food contamination? |||  ||| How is food tested for GMO contamination? ||| Genetically modified foods have been tested over and over again. Never revealing any problems, the test that show rats getting cancer and tumors, where frauds. ||| What is the role of Co-Extra in GMO food traceability in the EU? |||  ||| Tell me about traceability tools for GMO foods in the EU. |||  ||| What are the GMO food labeling rules in the EU? |||  ||| What are the cons of GMO food labeling? ||| They are not. (The GMO-fearing can seek out â100 Percent Organicâ products, indicating that a food contains no genetically modified ingredients, among other requirements. ||| What are the pros and cons of GMO food labeling? |||  ||| I would like to learn about GMO Food labeling. ||| The fight over labeling is not confined to those who are se |||| Reformulation: "
0,What are some interesting facts about bees?,Query: What are some interesting facts about bees? |||| Context:  |||| Reformulation: 
1,Why doesn't honey spoil?,Query: Why doesn't it spoil? |||| Context: What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: 
2,Why are so many bees dying?,"Query: Why are so many dying? |||| Context: Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: "
3,What can be done to stop bees from dying?,"Query: What can be done to stop it? |||| Context: Why are so many bees dying? ||| The group found that large numbers of bees are dying during the summer months, when conditions should be more favorable. One in 4 colonies is now dying during summer, which was unheard of several years ago, according to the results. ||| Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: "
4,What has happened to bee habitat?,"Query: What has happened to their habitat? |||| Context: What can be done to stop bees from dying? ||| Coloradans try to protect honey bees from dying of mysterious sickness. Honeybees: ||| Why are so many bees dying? ||| The group found that large numbers of bees are dying during the summer months, when conditions should be more favorable. One in 4 colonies is now dying during summer, which was unheard of several years ago, according to the results. ||| Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: "
5,What can I do to help provide a habitat for bees?,"Query: What can I do to help with the problem? |||| Context: What has happened to bee habitat? |||  ||| What can be done to stop bees from dying? ||| Coloradans try to protect honey bees from dying of mysterious sickness. Honeybees: ||| Why are so many bees dying? ||| The group found that large numbers of bees are dying during the summer months, when conditions should be more favorable. One in 4 colonies is now dying during summer, which was unheard of several years ago, according to the results. ||| Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: "
6,What is the cause of colony collapse disorder?,"Query: What is the cause of CCD? |||| Context: What can I do to help provide a habitat for bees? |||  ||| What has happened to bee habitat? |||  ||| What can be done to stop bees from dying? ||| Coloradans try to protect honey bees from dying of mysterious sickness. Honeybees: ||| Why are so many bees dying? ||| The group found that large numbers of bees are dying during the summer months, when conditions should be more favorable. One in 4 colonies is now dying during summer, which was unheard of several years ago, according to the results. ||| Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect that produces food eaten by humans. |||| Reformulation: "
7,What would happen if the bees died out?,"Query: What would happen if they died out? |||| Context: What is the cause of colony collapse disorder? ||| Theories about the causes of Colony Collapse Disorder, or CCD, emerged almost as quickly as the bees disappeared. No single cause or definitive answer has yet been identified. ||| What can I do to help provide a habitat for bees? |||  ||| What has happened to bee habitat? |||  ||| What can be done to stop bees from dying? ||| Coloradans try to protect honey bees from dying of mysterious sickness. Honeybees: ||| Why are so many bees dying? ||| The group found that large numbers of bees are dying during the summer months, when conditions should be more favorable. One in 4 colonies is now dying during summer, which was unheard of several years ago, according to the results. ||| Why doesn't honey spoil? ||| Diana Taliun/iStock/Getty Images. Honey doesn't spoil like other foods and even if it has turned cloudy, it's still safe to eat. ||| What are some interesting facts about bees? ||| Fun facts about bees: 1  Honeybees are the only insect  |||| Reformulation: "
0,How does seed investment work for startups?,Query: How does seed investment work for startups? |||| Context:  |||| Reformulation: 
1,Tell me more about angel investment rounds.,Query: Tell me more about angel rounds. |||| Context: How does seed investment work for startups? |||  |||| Reformulation: 
2,How does an angel investment round compare with crowdfunding?,Query: How does it compare with crowdfunding? |||| Context: Tell me more about angel investment rounds. |||  ||| How does seed investment work for startups? |||  |||| Reformulation: 
3,How much is a typical A series investment round?,Query: How much is a typical A series round? |||| Context: How does an angel investment round compare with crowdfunding? |||  ||| Tell me more about angel investment rounds. |||  ||| How does seed investment work for startups? |||  |||| Reformulation: 
4,What are the risks of investing in startups?,Query: What are the risks of investing? |||| Context: How much is a typical A series investment round? |||  ||| How does an angel investment round compare with crowdfunding? |||  ||| Tell me more about angel investment rounds. |||  ||| How does seed investment work for startups? |||  |||| Reformulation: 
5,What are the different types of instruments used by Venture Capitalists?,Query: What are the different types of instruments used by VCs? |||| Context: What are the risks of investing in startups? |||  ||| How much is a typical A series investment round? |||  ||| How does an angel investment round compare with crowdfunding? |||  ||| Tell me more about angel investment rounds. |||  ||| How does seed investment work for startups? |||  |||| Reformulation: 
0,How much does a Lamborghini cost?,Query: How much does a used Lamborghini cost? |||| Context:  |||| Reformulation: 
1,How does a Lamborghini compare to a Ferrari?,"Query: How does it compare to a Ferrari? |||| Context: How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
2,Interesting. How much does a pimped-out food truck cost?,"Query: Interesting. What about for a pimped-out food truck? |||| Context: How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
3,What licenses and permits are needed for a food truck?,"Query: What licenses and permits are needed? |||| Context: Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
4,What makes a good food truck location?,"Query: What makes a good location? |||| Context: What licenses and permits are needed for a food truck? ||| Hygiene: a food vendor license and a permit for a mobile. food cart. ||| Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
5,What is a typical day like running a food truck?,"Query: What is a typical day like? |||| Context: What makes a good food truck location? ||| Research locations. With a food truck, you can travel to new locations and develop multiple customer bases. ||| What licenses and permits are needed for a food truck? ||| Hygiene: a food vendor license and a permit for a mobile. food cart. ||| Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
6,How can I run a successful food truck?,"Query: How can I run it successfully? |||| Context: What is a typical day like running a food truck? |||  ||| What makes a good food truck location? ||| Research locations. With a food truck, you can travel to new locations and develop multiple customer bases. ||| What licenses and permits are needed for a food truck? ||| Hygiene: a food vendor license and a permit for a mobile. food cart. ||| Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines how much does a Lamborghini cost to you. Based on your preference additional features and accessories can cost you anywhere between $500 â $15,000. |||| Reformulation: "
7,What are some good examples of successful food trucks to learn from?,"Query: What are some good examples to learn from? |||| Context: How can I run a successful food truck? ||| Launch an Empire. Food Truck Empire is here to inspire and help you run a more profitable mobile food business. ||| What is a typical day like running a food truck? |||  ||| What makes a good food truck location? ||| Research locations. With a food truck, you can travel to new locations and develop multiple customer bases. ||| What licenses and permits are needed for a food truck? ||| Hygiene: a food vendor license and a permit for a mobile. food cart. ||| Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How much does a Lamborghini cost? ||| Itâs a thing in your hand that determines |||| Reformulation: "
8,"Besides inventive flavors, what made Kogi successful?","Query: Besides inventive flavors, what made it successful? |||| Context: What are some good examples of successful food trucks to learn from? |||  ||| How can I run a successful food truck? ||| Launch an Empire. Food Truck Empire is here to inspire and help you run a more profitable mobile food business. ||| What is a typical day like running a food truck? |||  ||| What makes a good food truck location? ||| Research locations. With a food truck, you can travel to new locations and develop multiple customer bases. ||| What licenses and permits are needed for a food truck? ||| Hygiene: a food vendor license and a permit for a mobile. food cart. ||| Interesting. How much does a pimped-out food truck cost? ||| Theyâll follow their favorite truckâs Twitter feed to see where itâs parked then happily fork out a little extra for its menu. Food truck meals typically cost between $5 and $8, though lobster rolls can run above $10. ||| How does a Lamborghini compare to a Ferrari? ||| , car nut. It's not easy to say that Lamborghini is better than Ferrari. ||| How |||| Reformulation: "
0,What is the climate like in Utah?,Query: What is the climate like in Utah? |||| Context:  |||| Reformulation: 
1,How does the climate of Salt Lake City differ from Utah overall?,"Query: How does Salt Lake City differ? |||| Context: What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
2,What is the main economic activity of Salt Lake City?,"Query: What is its main economic activity? |||| Context: How does the climate of Salt Lake City differ from Utah overall? ||| The climate of Salt Lake City varies widely. Lying in the Salt Lake Valley, the city is surrounded by mountains and the Great Salt Lake. ||| What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
3,What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?,"Query: What was the impact of the 2002 games? |||| Context: What is the main economic activity of Salt Lake City? |||  ||| How does the climate of Salt Lake City differ from Utah overall? ||| The climate of Salt Lake City varies widely. Lying in the Salt Lake Valley, the city is surrounded by mountains and the Great Salt Lake. ||| What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
4,What were important ski locations used in the 2002 olympic winter games?,"Query: What were important ski locations used? |||| Context: What was the impact of the 2002 olympic winter games on the economy of Salt Lake City? |||  ||| What is the main economic activity of Salt Lake City? |||  ||| How does the climate of Salt Lake City differ from Utah overall? ||| The climate of Salt Lake City varies widely. Lying in the Salt Lake Valley, the city is surrounded by mountains and the Great Salt Lake. ||| What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
5,What are the important non-ski events that happen in Salt Lake City?,"Query: What are the important non-ski events that happen in the city? |||| Context: What were important ski locations used in the 2002 olympic winter games? |||  ||| What was the impact of the 2002 olympic winter games on the economy of Salt Lake City? |||  ||| What is the main economic activity of Salt Lake City? |||  ||| How does the climate of Salt Lake City differ from Utah overall? ||| The climate of Salt Lake City varies widely. Lying in the Salt Lake Valley, the city is surrounded by mountains and the Great Salt Lake. ||| What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
6,What are some popular non-winter things to do in the Salt Lake City area?,"Query: What about some popular non-winter things to do in the area? |||| Context: What are the important non-ski events that happen in Salt Lake City? |||  ||| What were important ski locations used in the 2002 olympic winter games? |||  ||| What was the impact of the 2002 olympic winter games on the economy of Salt Lake City? |||  ||| What is the main economic activity of Salt Lake City? |||  ||| How does the climate of Salt Lake City differ from Utah overall? ||| The climate of Salt Lake City varies widely. Lying in the Salt Lake Valley, the city is surrounded by mountains and the Great Salt Lake. ||| What is the climate like in Utah? ||| Utah Weather > Clearfield Weather. Clearfield, UT climate is warm during summer when temperatures tend to be in the 70's and very cold during winter when temperatures tend to be in the 30's. |||| Reformulation: "
0,What are the different types of orange trees?,Query: What are the different types of orange trees? |||| Context:  |||| Reformulation: 
1,How can you tell different types of orange trees apart?,Query: How can you tell them apart? |||| Context: What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: 
2,What type of orange tree has thorns?,"Query: What type has thorns? |||| Context: How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: "
3,Where do orange trees originally come from?,"Query: Where do they originally come from? |||| Context: What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: "
4,Tell me about the Hamlin orange variety.,"Query: Tell me about the Hamlin variety. |||| Context: Where do orange trees originally come from? |||  ||| What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: "
5,Why did the Hamlin orange replace the Parson Brown variety?,"Query: Why did it replace PB? |||| Context: Tell me about the Hamlin orange variety. |||  ||| Where do orange trees originally come from? |||  ||| What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: "
6,What are the different types of navel oranges?,"Query: What are the different types of navels? |||| Context: Why did the Hamlin orange replace the Parson Brown variety? |||  ||| Tell me about the Hamlin orange variety. |||  ||| Where do orange trees originally come from? |||  ||| What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dwarf Orange Trees-Indoor Orange Tree Varieties. Dwarf orange trees are one of several types of indoor fruit trees that are specifically designed to grow in containers indoors. |||| Reformulation: "
7,Which type of navel orange is the most delicious?,"Query: Which is the most delicious? |||| Context: What are the different types of navel oranges? ||| Below, check out our guide to nine different types of oranges -- clementines, tangerines, honey tangerines, cara caras, tangelos, navels, juice oranges, blood oranges and Satsumas. Next time you're at the store, try something new! ||| Why did the Hamlin orange replace the Parson Brown variety? |||  ||| Tell me about the Hamlin orange variety. |||  ||| Where do orange trees originally come from? |||  ||| What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United States, South America, Africa and Australia, which all grow oranges for sale. There are several different types of sweet orange. ||| What are the different types of orange trees? ||| Dw |||| Reformulation: "
8,How do cara cara oranges compare with blood oranges?,"Query: How do they compare with blood oranges? |||| Context: Which type of navel orange is the most delicious? ||| CARA CARA NAVEL ORANGES. These oranges are thought to be a cross between the Washington navel and the Brazilian Bahia navel. ||| What are the different types of navel oranges? ||| Below, check out our guide to nine different types of oranges -- clementines, tangerines, honey tangerines, cara caras, tangelos, navels, juice oranges, blood oranges and Satsumas. Next time you're at the store, try something new! ||| Why did the Hamlin orange replace the Parson Brown variety? |||  ||| Tell me about the Hamlin orange variety. |||  ||| Where do orange trees originally come from? |||  ||| What type of orange tree has thorns? ||| Today, most varieties are either thornless or have thin, blunt, flexible thorns found only at the base of the leaves. Oranges that are bitter and not commonly consumed, however, may have large thorns. ||| How can you tell different types of orange trees apart? ||| From Europe, orange trees were taken to the United St |||| Reformulation: "
0,Can I have some information on the labor systems of the Ottoman Empire?,Query: Can I have some information on the labor systems of the Ottoman Empire? |||| Context:  |||| Reformulation: 
1,What was the role of slavery in the labor system of the Ottoman Empire?,Query: What was the role of slavery? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? |||  |||| Reformulation: 
2,How did the Ottoman Empire govern?,Query: How did it govern? |||| Context: What was the role of slavery in the labor system of the Ottoman Empire? |||  ||| Can I have some information on the labor systems of the Ottoman Empire? |||  |||| Reformulation: 
